9411000000;9411004999;Навигационно-информационные системы
9418100000;9418104999;Содействие развитию и использованию навигационных технологий
9583000000;9583899999;Глобал Телеком
9584480000;9584499999;Глобал Телеком
9585000000;9585079999;Ростелеком
9585170000;9585179999;ВЕСТ КОЛЛ ЛТД
9585190000;9585199999;Центральный телеграф
9585200000;9585209999;7к
9585230000;9585239999;МАТРИКС телеком
9585240000;9585279999;Сонет
9585340000;9585349999;Айконнект
9585350000;9585359999;Наша сеть
9585368000;9585368999;Ё-Мобайл
9585369000;9585369999;Ё-Мобайл
9585370300;9585370499;Скартел
9585371000;9585371999;Скартел
9585374100;9585376034;Сигма Телеком
9585385000;9585385999;СервисПартнер
9585386000;9585386999;Интерком Технолоджи
9585387000;9585389999;ФЕБО Телеком
9585550000;9585559999;Межрегиональный ТранзитТелеком
9585920000;9585929999;Ростелеком
9585930000;9585939999;Айконнект
9586300000;9586444999;Ростелеком
9587000000;9587699999;Межрегиональный ТранзитТелеком
9588800000;9588809999;Экспресс ТелеКом
9588880000;9588889999;КантриКом
9589000000;9589999999;Глобал Телеком
9623600000;9623699999;Вымпел-Коммуникации
9629000000;9629999999;Вымпел-Коммуникации
9636000000;9636999999;Вымпел-Коммуникации
9637100000;9637139999;Вымпел-Коммуникации
9637140000;9637199999;Вымпел-Коммуникации
9637200000;9637299999;Вымпел-Коммуникации
9637500000;9637509999;Вымпел-Коммуникации
9637510000;9637599999;Вымпел-Коммуникации
9637600000;9637899999;Вымпел-Коммуникации
9639200000;9639299999;Вымпел-Коммуникации
9639600000;9639799999;Вымпел-Коммуникации
9639900000;9639999999;Вымпел-Коммуникации
9645000000;9645399999;Вымпел-Коммуникации
9645500000;9645999999;Вымпел-Коммуникации
9646200000;9646499999;Вымпел-Коммуникации
9647000000;9647299999;Вымпел-Коммуникации
9647600000;9647699999;Вымпел-Коммуникации
9647700000;9647999999;Вымпел-Коммуникации
9651000000;9651999999;Вымпел-Коммуникации
9652000000;9652499999;Вымпел-Коммуникации
9652500000;9654499999;Вымпел-Коммуникации
9660000000;9660999999;Вымпел-Коммуникации
9661000000;9661999999;Вымпел-Коммуникации
9663000000;9663999999;Вымпел-Коммуникации
9670000000;9672999999;Вымпел-Коммуникации
9680000000;9680999999;Вымпел-Коммуникации
9683100000;9683199999;Вымпел-Коммуникации
9683200000;9683399999;Вымпел-Коммуникации
9683400000;9683499999;Вымпел-Коммуникации
9683500000;9687999999;Вымпел-Коммуникации
9688000000;9689999999;Вымпел-Коммуникации
9690000000;9690999999;Вымпел-Коммуникации
9691000000;9691999999;Вымпел-Коммуникации
9692000000;9692999999;Вымпел-Коммуникации
9693000000;9693399999;Вымпел-Коммуникации
9693400000;9693499999;Вымпел-Коммуникации
9701100000;9701109999;Экспресс ТелеКом
9702340000;9702349999;МТУ-ИНФОРМ
9711100000;9711109999;Экспресс ТелеКом
9851000000;9852192999;Мобильные ТелеСистемы
9852200000;9853199999;Мобильные ТелеСистемы
9853300000;9853699999;Мобильные ТелеСистемы
9853800000;9854929999;Мобильные ТелеСистемы
9856000000;9856009999;Мобильные ТелеСистемы
9856040000;9856049999;Мобильные ТелеСистемы
9856100000;9856399999;Мобильные ТелеСистемы
9856400000;9856499999;Мобильные ТелеСистемы
9856550000;9856551999;Мобильные ТелеСистемы
9856600000;9856699999;Мобильные ТелеСистемы
9856800000;9856999999;Мобильные ТелеСистемы
9857040000;9857049999;Мобильные ТелеСистемы
9857100000;9857199999;Мобильные ТелеСистемы
9857200000;9857299999;Мобильные ТелеСистемы
9857300000;9857599999;Мобильные ТелеСистемы
9857600000;9858999999;Мобильные ТелеСистемы
9859040000;9859049999;Мобильные ТелеСистемы
9859050000;9859059999;Московская городская телефонная сеть
9859100000;9859299999;Мобильные ТелеСистемы
9859600000;9859799999;Мобильные ТелеСистемы
9859900000;9859999999;Мобильные ТелеСистемы
9971000000;9971009999;АСВТ(Москва)
9971010000;9971019999;АСВТ(Москва)
9971020000;9971029999;АСВТ(Москва)
9971030000;9971039999;АСВТ(Москва)
9971040000;9971049999;АСВТ(Москва)
9971050000;9971059999;АСВТ(Москва)
9971060000;9971069999;АСВТ(Москва)
9971070000;9971079999;АСВТ(Москва)
9971080000;9971089999;АСВТ(Москва)
9971090000;9971099999;АСВТ(Москва)
